HHID,province,district_real,altitude_m,farm_size_ha,soil_ph,nitrogen,phosphorus,potassium,soc,annual_rainfall_mm,avg_temperature_C,avg_humidity_pct,used_improved_seed,used_inorganic_fert,used_organic_fert,used_pesticide,used_irrigation,soil_measures_count,num_crops_grown,grew_maize,grew_beans,grew_cassava,grew_rice,grew_irish_potato,grew_tomato,grew_sweet_potato,grew_banana,yield_maize_t_ha,yield_beans_t_ha,yield_cassava_t_ha,yield_rice_t_ha,yield_irish_potato_t_ha,yield_tomato_t_ha,yield_sweet_potato_t_ha,yield_banana_t_ha,recommended_crop,recommended_confidence,weight
HHD100000,Southern,Nyamagabe,1518,0.53,6.63,0.365,0.247,0.258,1.28,859.5,19.17,67.9,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,,,,,19.02,16.0,,,irish_potato,0.543,1.772
HHD100001,Western,Ngororero,1590,0.87,7.16,0.458,0.123,0.347,2.17,822.9,25.12,80.4,1,1,0,0,0,1,3,1,0,1,0,0,0,1,0,5.93,,22.72,,,,14.63,,cassava,0.525,1.441
HHD100002,Eastern,Bugesera,1133,0.35,5.54,0.274,0.137,0.724,2.22,1055.5,19.15,69.7,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,,1.37,12.88,,,,,,cassava,0.904,0.479
HHD100003,Eastern,Nyagatare,1369,2.08,5.25,0.508,0.076,0.797,1.54,720.9,22.83,83.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7.12,,,,,,,,maize,1.0,2.523
HHD100004,Western,Ngororero,1450,0.71,5.2,0.623,0.03,0.253,1.76,687.8,24.16,71.5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4.35,,,,,,,,maize,1.0,0.886
HHD100005,Southern,Muhanga,1727,0.92,5.75,0.4,0.038,0.054,2.44,942.8,24.43,76.2,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,,,,,,,17.07,,sweet_potato,1.0,0.721
HHD100006,Western,Ngororero,1456,2.23,6.35,0.237,0.089,0.659,3.09,762.2,25.6,86.9,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1,8.66,,,,,,,38.92,banana,0.818,1.12
HHD100007,Southern,Muhanga,1579,1.41,5.79,0.232,0.061,0.02,1.91,846.4,23.51,74.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,10.8,,,,,,cassava,1.0,3.193
HHD100008,Northern,Gicumbi,1823,1.97,5.83,0.348,0.242,0.343,2.57,1060.3,21.91,73.8,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,,,,8.34,,22.4,,25.78,banana,0.456,2.381
HHD100009,Southern,Huye,1578,2.08,6.02,0.422,0.125,0.542,2.69,978.9,19.57,83.7,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,,,,,18.32,,,30.22,banana,0.623,2.299
HHD100010,Southern,Nyaruguru,1585,0.44,6.54,0.318,0.174,0.359,1.42,552.6,18.43,80.5,1,0,0,0,0,1,3,0,0,0,1,0,0,1,1,,,,4.73,,,6.74,16.97,banana,0.597,0.594
HHD100011,Northern,Musanze,1648,0.95,6.08,0.335,0.081,0.369,2.9,892.6,19.85,69.5,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,,,13.12,,,,8.31,,cassava,0.612,1.048
HHD100012,Western,Karongi,1388,0.44,5.73,0.513,0.096,0.291,3.71,781.7,25.33,66.2,0,0,0,0,0,3,2,0,0,0,1,0,0,0,1,,,,4.82,,,,16.01,banana,0.769,1.959
HHD100013,Northern,Gicumbi,1764,1.57,6.21,0.476,0.184,0.324,0.91,615.3,24.13,84.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,27.34,banana,1.0,2.556
HHD100014,Northern,Rulindo,1800,0.08,6.07,0.59,0.124,0.64,3.08,1113.7,27.32,96.2,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,3.62,,,4.16,17.57,,,,irish_potato,0.693,0.754
HHD100015,Northern,Gicumbi,1869,0.84,6.02,0.702,0.033,0.027,2.07,816.6,19.41,78.1,0,1,0,0,0,4,2,0,0,0,0,0,1,0,1,,,,,,19.38,,18.41,tomato,0.513,3.635
HHD100016,Southern,Gisagara,1602,0.35,6.22,0.353,0.052,0.69,3.26,1233.4,25.63,77.4,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,,,,,,17.18,7.62,,tomato,0.693,1.848
HHD100017,Kigali,Gasabo,1459,2.22,5.54,0.431,0.109,0.618,3.83,1300.2,21.37,83.5,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,5.2,2.4,,,21.19,,,,irish_potato,0.736,1.012
HHD100018,Southern,Nyanza,1601,0.93,6.22,0.329,0.018,0.434,4.14,939.6,17.24,67.0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,,2.01,,,,20.27,,,tomato,0.91,1.176
HHD100019,Northern,Gicumbi,1873,2.34,6.17,0.365,0.12,0.204,1.86,919.1,20.77,82.3,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,6.65,,,9.33,,,,,rice,0.584,0.526
HHD100020,Kigali,Nyarugenge,1449,0.17,6.02,0.409,0.046,0.586,4.2,1352.3,22.78,85.5,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,,1.27,,,,,,23.62,banana,0.949,2.029
HHD100021,Southern,Nyamagabe,1498,0.02,5.98,0.347,0.015,0.356,0.61,890.0,18.96,67.7,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,,,,,8.59,13.75,,,tomato,0.615,2.685
HHD100022,Kigali,Nyarugenge,1500,1.53,4.85,0.202,0.111,0.533,3.56,815.5,23.92,65.8,1,0,0,1,1,1,2,1,0,0,0,1,0,0,0,5.99,,,,18.59,,,,irish_potato,0.756,0.673
HHD100023,Northern,Musanze,1811,0.55,5.9,0.416,0.231,0.477,2.36,857.2,19.23,68.6,0,0,0,1,0,0,3,0,1,1,0,0,0,1,0,,1.93,9.96,,,,10.41,,sweet_potato,0.467,4.752
HHD100024,Southern,Huye,1691,0.38,5.14,0.192,0.161,0.198,4.54,868.5,24.64,85.1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,,,,5.49,,15.43,,,tomato,0.738,1.287
HHD100025,Kigali,Nyarugenge,1480,1.53,5.64,0.326,0.224,0.3,4.76,1058.6,24.71,77.4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,25.34,banana,1.0,1.403
HHD100026,Northern,Burera,1755,0.53,4.9,0.205,0.215,0.734,3.13,862.4,17.45,73.1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,,,11.14,,10.5,,,,cassava,0.515,0.376
HHD100027,Southern,Kamonyi,1756,0.54,6.76,0.215,0.083,0.316,1.64,1075.5,19.37,89.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1.13,,,,,,,beans,1.0,0.919
HHD100028,Southern,Kamonyi,1638,1.52,6.58,0.343,0.217,0.202,1.5,669.8,24.19,86.1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,,,14.3,,,14.58,,,tomato,0.505,0.175
HHD100029,Northern,Gicumbi,1822,0.53,6.73,0.837,0.072,0.287,2.04,615.5,22.75,69.7,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,3.83,,,,,rice,1.0,1.371
HHD100030,Northern,Musanze,1814,2.75,6.14,0.199,0.01,0.337,1.31,1012.2,22.6,74.5,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,,,,,,21.92,,37.4,banana,0.63,1.213
HHD100031,Northern,Gicumbi,1836,2.24,6.09,0.533,0.086,0.76,3.14,836.5,19.4,77.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,30.28,banana,1.0,1.401
HHD100032,Northern,Gicumbi,1791,2.61,6.41,0.101,0.169,0.606,2.38,1126.1,23.98,93.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,31.47,banana,1.0,0.772
HHD100033,Southern,Muhanga,1608,0.03,5.56,0.551,0.184,0.591,0.94,849.5,26.2,75.9,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,3.38,1.54,11.59,,,,,,cassava,0.702,6.716
HHD100034,Northern,Burera,1697,0.32,5.7,0.402,0.049,0.122,3.05,799.2,20.94,74.6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,,,,,8.04,,,14.44,banana,0.642,8.92
HHD100035,Southern,Muhanga,1603,0.06,6.69,0.445,0.037,0.549,0.65,919.9,24.26,66.7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,13.34,,sweet_potato,1.0,1.281
HHD100036,Northern,Gicumbi,1748,1.65,6.02,0.435,0.024,0.02,1.83,1012.3,24.5,94.7,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,,2.09,24.74,,,,,,cassava,0.922,0.879
HHD100037,Eastern,Nyagatare,1182,0.11,6.13,0.541,0.266,0.211,1.46,854.4,22.78,95.4,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,,,,3.63,,,,,rice,1.0,2.027
HHD100038,Kigali,Nyarugenge,1346,1.68,6.14,0.367,0.082,0.226,0.86,1046.0,25.35,86.3,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,,,,,,17.55,12.96,,tomato,0.575,0.995
HHD100039,Eastern,Nyagatare,1318,2.37,6.08,0.112,0.26,0.306,1.97,945.6,19.29,74.7,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,5.51,,,7.43,,,,,rice,0.574,0.535
HHD100040,Kigali,Nyarugenge,1364,0.11,6.03,0.162,0.243,0.373,2.33,1036.2,22.08,53.6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,16.23,,,tomato,1.0,1.396
HHD100041,Eastern,Bugesera,1196,1.09,5.55,0.502,0.155,0.618,2.08,1034.6,22.32,75.4,0,1,0,0,0,0,3,1,1,0,0,0,0,1,0,5.1,2.63,,,,,18.04,,sweet_potato,0.7,3.741
HHD100042,Southern,Nyamagabe,1425,3.38,5.78,0.086,0.112,0.326,1.48,614.9,20.07,93.4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,,19.14,,,,,,cassava,1.0,0.98
HHD100043,Northern,Burera,1692,1.9,6.23,0.473,0.173,0.413,4.16,954.5,26.08,60.0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,5.26,,16.86,,,,,,cassava,0.762,1.505
HHD100044,Eastern,Bugesera,1119,0.82,5.57,0.218,0.17,0.128,2.74,1050.0,21.65,77.8,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3.57,1.2,,,,,,,maize,0.748,4.162
